monotonic_s,ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,mx_gauss,my_gauss,mz_gauss,roll_deg,pitch_deg,yaw_deg
26937.074080,0.00957,0.13161,-10.08455,-12.8100,8.8900,3.0975,-0.81490,-0.23113,1.12549,-177.107,4.711,-79.148
26937.074080,0.00837,0.12562,-10.07977,-12.9500,8.9250,3.0625,-0.81490,-0.23113,1.12549,-177.314,4.526,-79.188
26937.074080,0.00837,0.11964,-10.09532,-12.8275,8.8550,3.0275,-0.81490,-0.23113,1.12549,-177.515,4.346,-79.228
26937.074080,0.00837,0.11605,-10.08814,-12.9325,8.8725,3.1150,-0.81606,-0.22852,1.10925,-177.712,4.168,-79.268
26937.074080,0.00837,0.12682,-10.08694,-13.0200,8.8900,3.0800,-0.81606,-0.22852,1.10925,-177.908,3.994,-79.306
26937.173813,0.01914,0.12203,-10.08814,-13.0725,8.9775,3.1150,-0.81606,-0.22852,1.10925,-178.099,3.821,-79.345
26937.173813,0.00598,0.12323,-10.08575,-12.9150,8.9950,2.9750,-0.81606,-0.22852,1.10925,-178.285,3.653,-79.381
26937.173813,0.01077,0.12682,-10.10489,-12.9675,8.8375,2.9750,-0.81606,-0.22852,1.10925,-178.468,3.489,-79.416
26937.173813,0.00718,0.12562,-10.07378,-12.9850,8.8725,3.0975,-0.81606,-0.22852,1.10925,-178.648,3.329,-79.452
26937.173813,0.00837,0.12443,-10.09053,-12.8975,8.8725,3.0800,-0.81606,-0.22852,1.10925,-178.822,3.171,-79.487
26937.173813,0.00957,0.13400,-10.08575,-12.8625,8.8725,3.0800,-0.81606,-0.22852,1.10925,-178.994,3.016,-79.522
26937.173813,0.00837,0.13041,-10.07259,-12.9150,8.8200,3.1325,-0.81606,-0.22852,1.10925,-179.162,2.865,-79.556
26937.173813,0.01795,0.12682,-10.08455,-12.9325,8.9425,3.0450,-0.81606,-0.22852,1.10925,-179.327,2.714,-79.590
26937.173813,0.01436,0.12203,-10.08694,-12.9675,9.0125,3.0975,-0.81722,-0.22562,1.11099,-179.488,2.566,-79.623
26937.173813,0.00837,0.11486,-10.08335,-12.8975,8.9250,3.0800,-0.81722,-0.22562,1.11099,-179.644,2.423,-79.655
26937.274806,0.00598,0.12562,-10.08814,-12.9850,8.8900,3.0975,-0.81722,-0.22562,1.11099,-179.799,2.283,-79.688
26937.274806,0.00598,0.13639,-10.09173,-12.8975,8.9950,3.0275,-0.81722,-0.22562,1.11099,-179.951,2.144,-79.719
26937.274806,0.00718,0.13280,-10.08096,-12.8975,8.9075,3.1150,-0.81722,-0.22562,1.11099,179.900,2.009,-79.751
26937.274806,0.01077,0.12921,-10.08335,-12.8800,8.9775,3.1325,-0.81722,-0.22562,1.11099,179.755,1.876,-79.782
26937.274806,0.01675,0.12084,-10.08575,-12.8275,9.0125,3.0975,-0.81722,-0.22562,1.11099,179.614,1.744,-79.813
26937.274806,0.01316,0.12682,-10.08096,-12.8800,8.9075,3.0975,-0.81722,-0.22562,1.11099,179.475,1.616,-79.843
26937.274806,0.01077,0.12203,-10.08335,-12.9675,8.9425,3.0800,-0.81722,-0.22562,1.11099,179.339,1.490,-79.873
26937.274806,0.01196,0.11366,-10.09173,-13.0200,8.8900,3.1500,-0.81722,-0.22562,1.11099,179.206,1.367,-79.904
26937.274806,0.01316,0.12682,-10.08096,-12.8975,8.8725,3.1675,-0.81983,-0.23142,1.12462,179.075,1.247,-79.934
26937.274806,0.00957,0.12802,-10.07857,-12.9675,8.9250,3.0975,-0.81983,-0.23142,1.12462,178.946,1.129,-79.963
26937.373739,0.01196,0.13400,-10.08694,-12.9850,8.9250,2.9750,-0.81983,-0.23142,1.12462,178.819,1.013,-79.991
26937.373739,0.00718,0.13759,-10.08216,-12.9675,8.8900,3.0450,-0.81983,-0.23142,1.12462,178.694,0.900,-80.019
26937.373739,0.00598,0.13280,-10.08575,-13.0375,8.7500,3.2025,-0.81983,-0.23142,1.12462,178.572,0.791,-80.049
26937.373739,0.00837,0.12562,-10.08455,-12.9500,8.9425,3.1150,-0.81983,-0.23142,1.12462,178.454,0.682,-80.078
26937.373739,0.00718,0.13041,-10.08216,-12.9675,8.9600,3.1150,-0.81983,-0.23142,1.12462,178.337,0.574,-80.106
26937.373739,0.01436,0.12921,-10.09053,-12.8450,8.8900,2.9925,-0.81983,-0.23142,1.12462,178.224,0.469,-80.133
26937.373739,0.01555,0.12921,-10.07618,-12.8975,8.8200,3.0800,-0.81983,-0.23142,1.12462,178.114,0.367,-80.161
26937.373739,0.01316,0.12562,-10.08814,-12.8275,8.9075,3.0450,-0.81983,-0.23142,1.12462,178.006,0.265,-80.188
26937.373739,0.00837,0.11844,-10.07977,-12.8275,8.8025,3.0100,-0.81809,-0.23113,1.12172,177.902,0.168,-80.215
26937.373739,0.00598,0.12562,-10.08455,-13.0550,8.9425,3.0450,-0.81809,-0.23113,1.12172,177.796,0.071,-80.242
26937.478183,0.00837,0.12682,-10.09651,-12.9850,8.9950,2.9750,-0.81809,-0.23113,1.12172,177.693,-0.025,-80.268
26937.478183,0.00598,0.12802,-10.08694,-12.8975,8.8900,3.1150,-0.81809,-0.23113,1.12172,177.593,-0.117,-80.295
26937.478183,0.00718,0.12802,-10.08216,-12.9675,8.9425,2.9925,-0.81809,-0.23113,1.12172,177.495,-0.209,-80.321
26937.478183,0.00718,0.12562,-10.08335,-12.8800,9.0125,2.9750,-0.81809,-0.23113,1.12172,177.399,-0.299,-80.347
26937.478183,0.00718,0.13161,-10.08335,-12.9500,8.9600,3.0450,-0.81809,-0.23113,1.12172,177.305,-0.387,-80.373
26937.478183,0.01436,0.12323,-10.08575,-12.8800,8.9075,2.9575,-0.81809,-0.23113,1.12172,177.213,-0.474,-80.399
26937.478183,0.01436,0.12562,-10.08455,-12.9675,8.8725,3.0800,-0.81809,-0.23113,1.12172,177.123,-0.558,-80.425
26937.478183,0.01914,0.12802,-10.08575,-13.0375,8.8900,3.0800,-0.81809,-0.23113,1.12172,177.033,-0.642,-80.452
26937.478183,0.01077,0.12443,-10.09412,-13.1075,8.9250,3.1150,-0.82244,-0.22678,1.12172,176.945,-0.723,-80.479
26937.478183,0.01914,0.13400,-10.07977,-13.1075,8.9425,3.0975,-0.82244,-0.22678,1.12172,176.858,-0.804,-80.505
26937.575830,0.00837,0.13041,-10.08216,-13.0550,8.9425,3.0625,-0.82244,-0.22678,1.12172,176.773,-0.882,-80.532
26937.575830,0.00957,0.13161,-10.09293,-13.0725,8.9425,3.1500,-0.82244,-0.22678,1.12172,176.690,-0.959,-80.559
26937.575830,0.00598,0.13519,-10.09173,-12.9675,9.0300,3.0975,-0.82244,-0.22678,1.12172,176.609,-1.035,-80.585
26937.575830,0.00718,0.12921,-10.08575,-13.0200,8.9250,3.0275,-0.82244,-0.22678,1.12172,176.530,-1.108,-80.611
26937.575830,0.01316,0.12921,-10.08216,-12.9325,8.8025,2.9225,-0.82244,-0.22678,1.12172,176.453,-1.180,-80.636
26937.575830,0.01196,0.12562,-10.09173,-13.0900,8.8025,2.9575,-0.82244,-0.22678,1.12172,176.377,-1.249,-80.661
26937.575830,0.00957,0.11964,-10.08814,-13.0375,8.8900,3.0450,-0.82244,-0.22678,1.12172,176.303,-1.318,-80.687
26937.575830,0.00837,0.12084,-10.08814,-13.0550,8.8900,3.0800,-0.82244,-0.22678,1.12172,176.231,-1.386,-80.713
26937.575830,0.01436,0.12921,-10.08694,-12.9325,8.9425,3.0975,-0.82070,-0.22968,1.12491,176.160,-1.454,-80.739
26937.575830,0.00837,0.13280,-10.07618,-12.9150,8.9950,2.9400,-0.82070,-0.22968,1.12491,176.091,-1.519,-80.764
26937.676038,0.01316,0.13161,-10.08694,-12.9500,8.9775,2.9400,-0.82070,-0.22968,1.12491,176.023,-1.585,-80.789
26937.676038,0.00957,0.13280,-10.08575,-12.8975,8.9425,3.0100,-0.82070,-0.22968,1.12491,175.956,-1.648,-80.814
26937.676038,0.01795,0.13280,-10.08814,-12.9675,8.8900,2.9575,-0.82070,-0.22968,1.12491,175.891,-1.710,-80.839
